name	val_accuracy	val_loss	compression_ratio
s2fp8	0.1907999962568283	2.221651554107666	
s2fp8*	0.8610000014305115	0.4360799789428711	
fp8	0.18240000307559967	2.1597602367401123	
fp16	0.32019999623298645	1.83259916305542	
smart-stochastic-[6-8]	0.8500000238418579	0.4900931715965271	4.9722056582691225
smart-stochastic*-[4-6]	0.7020000219345093	1.4409449100494385	7.240463805392506
bf16	0.8880000114440918	0.43271300196647644	
smart-stochastic*-[6-8]	0.8808000087738037	0.43101391196250916	4.924162611728761
fp32	0.8924000263214111	0.41088661551475525	
smart-stochastic-[3-5]	0.16859999299049377	2291.588134765625	9.154423914457622
smart-stochastic*-[3-5]	0.22499999403953552	3.401001453399658	9.16898855796227
smart-stochastic*-[5-7]	0.8503999710083008	0.49144622683525085	5.807795991742514
smart-stochastic-[5-7]	0.7753999829292297	0.7963193655014038	5.919127459448528
smart-stochastic-[4-6]	0.4790000021457672	7.888786792755127	6.9524605816060845
